pasos x w correlacion
0 0.012717 0.999919 1.000000
1 0.074465 0.997312 0.996591
2 0.070440 1.000292 0.993271
3 0.149632 0.991324 0.990041
4 0.198953 0.991441 0.986837
5 0.270742 0.983282 0.983731
6 0.273449 0.999264 0.980678
7 0.176446 1.022060 0.977635
8 0.149336 1.004426 0.974670
9 0.082516 1.007776 0.971761
10 0.071654 1.000838 0.968899
11 -0.027412 1.002194 0.965983
12 -0.051836 0.999033 0.962980
13 -0.037599 1.000637 0.959908
14 -0.016166 1.000576 0.956976
15 0.016443 0.999995 0.954019
16 -0.013132 1.000049 0.951155
17 0.008405 1.000051 0.948285
18 0.068926 0.997663 0.945482
19 0.029316 1.001948 0.942723
20 0.074651 0.997646 0.939970
21 0.159795 0.990069 0.937283
22 0.088263 1.008912 0.934673
23 0.035328 1.003276 0.932033
24 -0.022752 1.000365 0.929387
25 0.045979 0.999202 0.926826
26 0.045979 0.990457 0.924299
27 0.024467 1.000758 0.921753
28 -0.016077 1.000170 0.919259
29 -0.111328 0.993951 0.916781
30 -0.192804 0.987687 0.914369
31 -0.281561 0.979168 0.911927
32 -0.197803 1.020278 0.909475
33 -0.243223 0.990034 0.907120
34 -0.204987 1.008606 0.904745
35 -0.159688 1.008294 0.902447
36 -0.218616 0.988915 0.900162
37 -0.224924 0.998602 0.897854
38 -0.135093 1.016302 0.895473
39 -0.213437 0.986440 0.893025
40 -0.236390 0.994851 0.890533
41 -0.214597 1.004926 0.887972
42 -0.242329 0.993684 0.885379
43 -0.297308 0.985275 0.882875
44 -0.236732 1.016307 0.880353
45 -0.138734 1.018568 0.877818
46 -0.169622 0.995249 0.875257
47 -0.138160 1.004853 0.872737
48 -0.225452 0.984255 0.870205
49 -0.224491 1.000216 0.867590
50 -0.134574 1.016274 0.865054
51 -0.053551 1.007650 0.862559
52 -0.092941 0.997119 0.859925
53 -0.178866 0.988390 0.857437
54 -0.142228 1.005899 0.855063
55 -0.066778 1.007916 0.852646
