pasos x w correlacion
0 0.127171 0.991946 1.000000
1 0.744652 0.764016 0.873088
2 0.704398 1.029594 0.763798
3 1.496323 0.418364 0.670300
4 1.496323 0.423319 0.589556
5 2.214209 0.263983 0.519415
6 2.241279 0.941477 0.458602
7 1.271249 5.493855 0.407712
8 1.000153 1.360543 0.363921
9 0.331950 1.560580 0.327392
10 0.223334 1.030616 0.295797
11 -0.767327 0.763795 0.266979
12 -1.011567 0.804738 0.239543
13 -0.869198 1.143257 0.210366
14 -0.654866 1.177422 0.187527
15 -0.328776 1.173955 0.167213
16 -0.624531 0.868513 0.147774
17 -0.409162 1.117744 0.128141
18 0.196051 1.066613 0.110068
19 -0.200049 0.999209 0.095114
20 0.253304 0.988001 0.084521
21 0.253304 0.560939 0.076010
22 -0.462020 0.928068 0.068634
23 -0.991363 0.680676 0.060172
24 -0.991363 0.474998 0.048519
25 -0.304056 1.560764 0.040144
26 -0.304056 0.822407 0.035615
27 -0.519181 0.915258 0.029619
28 -0.924619 0.746256 0.027952
29 -0.924619 0.263329 0.030842
30 -0.924619 0.337818 0.032956
31 -0.924619 0.296842 0.032258
32 -0.087039 1.527561 0.028793
33 -0.541246 0.867027 0.028853
34 -0.158879 1.143224 0.026402
35 0.294107 0.969836 0.026991
36 -0.295175 0.999685 0.028947
37 -0.358257 0.979601 0.030698
38 0.540056 0.921589 0.033528
39 -0.243385 1.123234 0.035609
40 -0.472915 0.921082 0.034556
41 -0.254982 1.082547 0.031346
42 -0.532304 0.896582 0.028802
43 -1.082095 0.641600 0.030467
44 -0.476333 1.603226 0.031866
45 0.503647 0.986706 0.029951
46 0.194769 1.113895 0.025465
47 0.509384 0.895146 0.021921
48 -0.363536 1.065727 0.018426
49 -0.353923 1.003455 0.011532
50 0.545244 0.917581 0.008468
51 1.355480 0.463005 0.006132
52 0.961577 1.578298 0.000114
53 0.102329 1.579455 -0.001580
54 0.102329 0.900679 -0.003238
55 0.856838 0.696387 -0.006780
56 1.020936 0.857212 -0.010386
57 0.376720 1.568619 -0.012107
58 0.327250 1.017565 -0.011311
59 0.335093 0.997406 -0.009829
60 0.146275 1.046494 -0.006645
61 0.283761 0.970871 -0.004236
62 0.795465 0.758720 -0.003834
63 0.746055 1.038817 -0.003917
64 0.481674 1.176207 -0.004019
65 -0.448134 1.015715 -0.005304
66 -0.122166 1.097407 -0.007115
67 -0.912809 0.664216 -0.005236
68 -0.070040 1.513095 -0.005170
69 -0.378063 0.933314 -0.002733
70 -0.628101 0.881800 -0.000697
71 -0.628101 0.742959 0.003215
72 -1.084323 0.676636 0.006292
73 -1.084323 0.594360 0.009174
74 -0.949767 1.146656 0.012727
75 -0.427137 1.433050 0.012835
76 -0.631825 0.897288 0.014506
77 0.148503 1.207527 0.016699
78 1.137761 0.529288 0.023379
79 0.238777 1.856592 0.024879
80 -0.373089 0.959742 0.028828
81 -0.119572 1.064440 0.034006
82 -0.723869 0.775037 0.035983
83 -0.723869 0.436445 0.037931
84 -0.237617 1.263344 0.038614
85 0.644520 0.835711 0.035286
86 0.317148 1.170477 0.028988
87 0.783319 0.773753 0.019489
88 0.783319 0.662069 0.018136
89 1.277749 0.600780 0.017146
90 0.566698 1.926583 0.013749
91 -0.311289 1.118651 0.009367
92 0.393963 0.971268 0.009040
93 -0.374828 1.007383 0.002615
94 -0.374828 0.433421 -0.003228
95 -0.465804 0.962483 -0.008873
96 -0.093509 1.109728 -0.015645
97 -0.945738 0.642211 -0.025558
98 -1.541856 0.476423 -0.032731
99 -1.541856 0.479796 -0.032850
100 -1.541856 0.379728 -0.027968
101 -1.476699 1.103338 -0.024101
102 -1.476699 0.290972 -0.022951
103 -0.550615 2.556737 -0.021849
104 0.298990 1.112813 -0.019309
105 -0.029115 1.045268 -0.019093
106 0.961241 0.630294 -0.021629
107 0.961241 0.233758 -0.022337
108 1.211585 0.761872 -0.024392
109 1.087039 1.153894 -0.022022
110 0.183905 1.775206 -0.019625
111 -0.236061 0.989108 -0.015738
112 0.302072 0.982395 -0.015676
113 -0.293985 1.002413 -0.018281
114 -0.085696 1.040334 -0.016536
115 -0.152989 0.992001 -0.017557
116 0.116459 1.004934 -0.020044
117 0.116459 0.746180 -0.021312
118 0.558275 0.861522 -0.020819
119 0.308542 1.114311 -0.015152
120 0.784356 0.771045 -0.006002
121 0.784356 0.381495 0.000407
122 0.162236 1.342384 0.010256
123 0.559252 0.866563 0.017378
124 0.261849 1.129866 0.021407
125 -0.577380 0.875989 0.021278
126 -0.353282 1.109911 0.021735
127 0.028962 1.063946 0.022559
128 0.028962 0.797784 0.023676
129 0.764428 0.746951 0.022628
130 0.764428 0.817357 0.021801
131 -0.149144 1.324524 0.022230
132 0.803919 0.731966 0.020654
133 0.942320 0.886175 0.018761
134 0.290170 1.494638 0.014589
135 1.028260 0.614737 0.013520
136 1.028260 0.536966 0.010547
137 0.682089 1.344520 0.008299
138 -0.164708 1.244904 0.006435
139 0.475295 0.905391 0.006887
140 0.371807 1.044807 0.009639
141 -0.030702 1.071060 0.010407
142 -0.028291 1.000071 0.010287
143 -0.382214 0.929932 0.004764
144 -0.754448 0.809327 0.003776
145 0.163701 1.311533 0.002221
146 0.163701 0.839499 0.001336
147 1.051698 0.582961 0.000611
148 0.183172 1.709599 0.000453
149 0.232337 0.989838 0.005890
150 0.232337 0.533644 0.006913
151 0.983612 0.633335 0.006818
152 0.627857 1.331949 0.008016
153 0.637959 0.993627 0.009737
154 0.218543 1.196757 0.011611
155 0.320872 0.972779 0.009670
156 -0.450056 0.951423 0.006223
157 -0.691794 0.871087 0.003401
158 -0.105075 1.263352 -0.003447
159 -0.340342 0.948953 -0.005959
160 -0.276040 1.020015 -0.004046
161 -0.485672 0.923265 -0.003660
162 -0.069918 1.122428 -0.001170
163 0.176214 0.987004 -0.000800
164 0.159215 1.002855 0.001415
165 0.153020 1.000968 0.004855
166 0.723746 0.778647 0.009643
167 0.437941 1.180583 0.010347
168 0.437941 0.861698 0.011554
169 0.186438 1.081681 0.008486
170 0.672994 0.811329 0.007218
171 0.672994 0.838772 0.003192
172 0.332682 1.186635 -0.000705
173 0.611103 0.876881 -0.002377
174 1.305246 0.514217 -0.002222
175 1.305246 0.762099 -0.002662
176 1.305246 0.308936 -0.006972
177 0.558184 2.005813 -0.011258
178 0.792474 0.853659 -0.015023
179 -0.075625 1.364991 -0.016460
180 0.172582 0.988039 -0.018680
181 -0.188604 0.997111 -0.018262
182 0.133396 1.008928 -0.016828
183 0.133396 0.763210 -0.017271
184 0.355602 0.947120 -0.017961
185 0.355602 0.545599 -0.019432
186 0.615955 0.881197 -0.023172
187 0.123356 1.199725 -0.030633
188 0.833735 0.711807 -0.035100
189 0.689352 1.116227 -0.035748
190 0.293924 1.214591 -0.039498
191 -0.254952 1.010753 -0.037074
192 -1.033692 0.605464 -0.031014
193 -1.033692 0.359848 -0.022232
194 -0.457472 1.536673 -0.015673
195 0.121799 1.102106 -0.009403
196 0.352245 0.946844 -0.004470
197 1.065554 0.603105 0.001886
198 1.792718 0.353732 0.007928
199 1.291818 2.165221 0.009681
200 1.291818 0.178574 0.010790
201 0.454665 2.077233 0.014515
202 0.308267 1.057434 0.012550
203 -0.174139 1.032881 0.010808
204 -0.174139 0.789859 0.005110
205 -0.923948 0.662538 0.000632
206 -0.923948 0.323510 -0.001095
207 -1.806513 0.299721 -0.005020
208 -0.977111 3.172027 -0.003721
209 -1.111545 0.869016 -0.002453
210 -0.437178 1.685739 0.001986
211 0.247017 1.067216 0.006612
212 0.042390 1.030053 0.009119
213 -0.948943 0.638044 0.010530
214 -0.039338 1.567485 0.011425
215 -0.557146 0.856902 0.010899
216 -1.046876 0.675184 0.010724
217 -0.156316 1.708743 0.010469
218 0.624134 0.833139 0.011983
219 1.506088 0.390870 0.011656
220 1.506088 0.358536 0.015530
221 0.790948 2.273571 0.017416
222 0.556963 1.170810 0.019227
223 0.392804 1.081076 0.022644
224 0.712668 0.837947 0.018536
225 -0.157628 1.273189 0.014587
226 0.166509 0.998562 0.013399
227 0.771905 0.752725 0.012750
228 1.143162 0.700829 0.013909
229 1.522172 0.603449 0.014986
230 1.522172 0.367957 0.015537
231 2.259529 0.248023 0.013144
232 2.259529 0.361022 0.013217
233 2.363506 0.786358 0.015658
234 1.481063 5.453764 0.018762
235 0.771416 2.223834 0.021058
236 0.771416 0.807424 0.021216
237 1.616382 0.364655 0.019707
238 2.005463 0.494309 0.017471
239 1.317301 3.137103 0.019155
240 1.360179 0.944213 0.019768
241 0.573016 2.140139 0.021113
242 0.456465 1.061829 0.022363
243 1.020661 0.659223 0.020239
