Ecin Epot Etot Temp Pre
2.921810 -3.772000 -0.850190 2.497500 50.110268
2.939551 -3.795605 -0.856054 2.495003 49.375691
2.957643 -3.819583 -0.861940 2.492507 49.570761
2.990928 -3.858857 -0.867929 2.490015 46.941344
2.905480 -3.779320 -0.873840 2.487525 50.343983
2.908625 -3.788246 -0.879621 2.485037 49.363996
2.952980 -3.838464 -0.885484 2.482552 47.014695
2.919415 -3.810824 -0.891409 2.480070 49.338225
2.920607 -3.817797 -0.897189 2.477590 49.987760
2.969371 -3.872483 -0.903112 2.475112 48.698527
2.967599 -3.876654 -0.909055 2.472637 49.228222
2.980163 -3.895191 -0.915028 2.470164 47.799141
2.877412 -3.798324 -0.920913 2.467694 52.196323
2.873991 -3.800630 -0.926639 2.465227 50.591484
2.822364 -3.754703 -0.932340 2.462761 52.495474
2.863440 -3.801440 -0.938000 2.460299 49.825853
2.884790 -3.828564 -0.943773 2.457838 49.250831
2.929624 -3.879194 -0.949570 2.455380 47.495583
2.914771 -3.870238 -0.955467 2.452925 47.834341
2.839796 -3.801010 -0.961214 2.450472 50.727315
2.823392 -3.790235 -0.966843 2.448022 50.962890
2.888148 -3.860699 -0.972551 2.445574 48.388210
2.902010 -3.880408 -0.978398 2.443128 47.800756
2.845498 -3.829612 -0.984114 2.440685 50.150755
2.871318 -3.861139 -0.989821 2.438244 48.705138
2.870267 -3.865858 -0.995590 2.435806 48.740553
2.823001 -3.824274 -1.001273 2.433370 50.548332
2.833444 -3.840374 -1.006931 2.430937 48.738437
2.796189 -3.808764 -1.012576 2.428506 49.715410
2.742940 -3.761073 -1.018133 2.426077 51.661592
2.797327 -3.820942 -1.023615 2.423651 48.549239
2.786772 -3.816031 -1.029259 2.421228 49.483712
2.821472 -3.856300 -1.034828 2.418806 47.193036
2.785524 -3.826010 -1.040486 2.416388 49.338976
2.784468 -3.830483 -1.046016 2.413971 49.207307
2.825392 -3.877030 -1.051638 2.411557 47.925766
2.826768 -3.884068 -1.057300 2.409146 48.352684
2.841252 -3.904217 -1.062965 2.406737 47.609355
2.845193 -3.913855 -1.068663 2.404330 46.966712
