Ecin Epot Etot Temp Pre
3.988828 -3.455079 0.533749 2.497500 107.597703
3.921592 -3.395767 0.525825 2.495003 108.822122
3.840888 -3.322799 0.518089 2.492507 111.564728
3.850668 -3.340308 0.510361 2.490015 110.290249
3.820492 -3.317746 0.502746 2.487525 113.635056
3.877533 -3.382555 0.494979 2.485037 112.082986
3.844082 -3.356793 0.487289 2.482552 113.937912
3.900522 -3.420974 0.479548 2.480070 110.125696
3.856956 -3.385215 0.471741 2.477590 110.815173
3.837510 -3.373379 0.464131 2.475112 110.525828
3.816511 -3.360162 0.456350 2.472637 109.746919
3.696999 -3.248127 0.448872 2.470164 113.797687
3.763886 -3.322446 0.441440 2.467694 110.785926
3.880213 -3.446408 0.433805 2.465227 106.199725
3.783804 -3.357721 0.426083 2.462761 111.276193
3.787327 -3.368784 0.418543 2.460299 109.240505
3.785640 -3.374768 0.410872 2.457838 109.905807
3.768391 -3.364939 0.403452 2.455380 112.030307
3.870107 -3.474359 0.395748 2.452925 106.139966
3.725565 -3.337468 0.388097 2.450472 110.885689
3.704714 -3.323957 0.380756 2.448022 111.026644
3.750973 -3.377723 0.373250 2.445574 109.808138
3.742766 -3.376974 0.365792 2.443128 110.789867
3.756081 -3.397804 0.358277 2.440685 110.703960
3.764110 -3.413443 0.350667 2.438244 108.876260
3.671016 -3.327686 0.343330 2.435806 112.586516
3.702921 -3.366945 0.335976 2.433370 114.860916
3.822846 -3.494490 0.328356 2.430937 108.995996
3.676881 -3.356023 0.320859 2.428506 114.378691
3.735584 -3.422093 0.313491 2.426077 111.948981
3.830625 -3.524845 0.305780 2.423651 107.115010
3.705349 -3.407087 0.298262 2.421228 111.741496
3.735642 -3.444746 0.290896 2.418806 109.146509
3.806487 -3.523135 0.283352 2.416388 107.113365
3.776387 -3.500679 0.275709 2.413971 108.565921
3.804080 -3.535950 0.268131 2.411557 107.490475
3.719991 -3.459443 0.260548 2.409146 111.581301
3.741064 -3.487944 0.253120 2.406737 108.988899
3.701829 -3.456205 0.245624 2.404330 109.842348
3.713209 -3.474911 0.238298 2.401926 108.650959
3.722376 -3.491528 0.230847 2.399524 107.811422
3.663622 -3.440138 0.223484 2.397124 110.364854
3.731876 -3.515709 0.216167 2.394727 107.334834
3.666498 -3.457896 0.208602 2.392332 108.936544
3.576727 -3.375196 0.201531 2.389940 112.372050
3.715312 -3.521122 0.194191 2.387550 107.075941
3.641387 -3.454605 0.186782 2.385162 110.353628
3.669082 -3.489578 0.179504 2.382777 107.793730
3.673433 -3.501269 0.172164 2.380394 109.243942
3.681701 -3.516973 0.164728 2.378014 108.897960
3.605577 -3.448072 0.157505 2.375636 111.533145
3.609877 -3.459608 0.150269 2.373260 111.797445
3.691043 -3.548089 0.142954 2.370887 108.178403
3.565618 -3.429989 0.135629 2.368516 113.655357
3.638175 -3.509644 0.128531 2.366148 109.382336
3.668694 -3.547606 0.121088 2.363782 106.708271
3.670231 -3.556392 0.113839 2.361418 104.162082
3.645735 -3.539272 0.106462 2.359056 104.908562
3.619154 -3.519900 0.099254 2.356697 106.093501
3.579014 -3.487069 0.091945 2.354341 108.549757
3.612781 -3.527915 0.084865 2.351986 107.052205
3.701639 -3.624141 0.077498 2.349634 102.191628
3.565960 -3.495794 0.070166 2.347285 106.029524
3.573443 -3.510363 0.063080 2.344937 104.210066
3.627079 -3.571248 0.055830 2.342592 102.751027
3.584171 -3.535528 0.048642 2.340250 106.146825
3.602366 -3.560864 0.041502 2.337910 107.726656
3.650769 -3.616593 0.034176 2.335572 104.592379
3.560295 -3.533384 0.026911 2.333236 107.452293
3.590274 -3.570484 0.019790 2.330903 103.501680
3.536339 -3.523709 0.012630 2.328572 106.679492
3.584967 -3.579440 0.005527 2.326243 104.584084
3.578765 -3.580405 -0.001639 2.323917 106.067863
3.626982 -3.635819 -0.008837 2.321593 105.635544
3.668838 -3.684972 -0.016134 2.319272 104.515705
3.631136 -3.654535 -0.023399 2.316952 106.358371
3.544176 -3.574809 -0.030633 2.314635 108.673265
3.533250 -3.570902 -0.037652 2.312321 107.299291
3.503771 -3.548532 -0.044761 2.310009 109.100642
3.561058 -3.612795 -0.051737 2.307698 106.004687
3.569159 -3.628100 -0.058941 2.305391 105.268411
3.557024 -3.623065 -0.066041 2.303085 104.746156
3.575146 -3.648343 -0.073197 2.300782 104.151832
3.571526 -3.651889 -0.080363 2.298482 103.302361
3.481110 -3.568524 -0.087414 2.296183 106.842323
3.435927 -3.530247 -0.094320 2.293887 107.849037
3.533005 -3.634289 -0.101284 2.291593 103.951173
3.567672 -3.676111 -0.108439 2.289301 103.278678
3.541100 -3.656579 -0.115480 2.287012 105.127884
3.610700 -3.733385 -0.122686 2.284725 101.732291
3.464023 -3.593763 -0.129740 2.282440 108.150187
3.552299 -3.689050 -0.136751 2.280158 102.288815
3.556874 -3.700760 -0.143885 2.277878 102.997072
3.511490 -3.662446 -0.150956 2.275600 103.613880
3.418997 -3.576936 -0.157939 2.273324 106.485490
3.435241 -3.599978 -0.164738 2.271051 106.113521
3.501516 -3.673218 -0.171703 2.268780 103.181679
3.491539 -3.670236 -0.178697 2.266511 103.393538
3.459655 -3.645339 -0.185684 2.264245 103.712552
3.528860 -3.721454 -0.192594 2.261980 100.423318
3.507609 -3.707369 -0.199761 2.259718 102.835264
3.523317 -3.730097 -0.206780 2.257459 100.615131
3.406747 -3.620442 -0.213695 2.255201 104.930903
3.432014 -3.652494 -0.220480 2.252946 103.628871
3.475712 -3.703128 -0.227416 2.250693 102.333283
3.421677 -3.656039 -0.234362 2.248442 103.107622
3.370354 -3.611457 -0.241103 2.246194 105.028703
3.463613 -3.711588 -0.247975 2.243948 100.916126
3.419671 -3.674581 -0.254910 2.241704 102.518538
3.377565 -3.639182 -0.261617 2.239462 103.778253
3.371049 -3.639486 -0.268437 2.237223 103.919072
3.389914 -3.665119 -0.275205 2.234985 101.683371
