Ecin Epot Etot Temp Pre
3.320220 -3.957344 -0.637124 2.497500 78.432897
3.278521 -3.922320 -0.643799 2.495003 79.480643
3.233258 -3.883573 -0.650315 2.492507 80.635555
3.250196 -3.906937 -0.656741 2.490015 81.413306
3.363759 -4.027158 -0.663399 2.487525 76.390128
3.262959 -3.932982 -0.670024 2.485037 81.297980
3.270228 -3.946759 -0.676531 2.482552 79.952532
3.304337 -3.987467 -0.683130 2.480070 78.835317
3.313667 -4.003404 -0.689737 2.477590 79.452283
3.281818 -3.978189 -0.696371 2.475112 77.970207
3.208122 -3.910982 -0.702860 2.472637 79.281382
3.207873 -3.917125 -0.709252 2.470164 78.001745
3.232137 -3.947828 -0.715692 2.467694 78.421673
3.263692 -3.985866 -0.722174 2.465227 79.428858
3.221478 -3.950208 -0.728729 2.462761 80.418184
3.167204 -3.902310 -0.735106 2.460299 81.818546
3.178760 -3.920200 -0.741441 2.457838 80.090436
3.148689 -3.896507 -0.747817 2.455380 80.156623
3.139725 -3.893739 -0.754013 2.452925 80.857933
3.244338 -4.004767 -0.760428 2.450472 78.003507
3.230258 -3.997225 -0.766967 2.448022 79.421316
3.183812 -3.957149 -0.773337 2.445574 81.501393
3.179793 -3.959559 -0.779766 2.443128 81.728490
3.231265 -4.017342 -0.786077 2.440685 78.233725
3.196279 -3.988868 -0.792588 2.438244 80.246127
3.223830 -4.022834 -0.799004 2.435806 77.591081
3.156372 -3.961766 -0.805394 2.433370 80.448175
3.137736 -3.949423 -0.811687 2.430937 80.330547
3.128678 -3.946624 -0.817947 2.428506 80.077846
3.171066 -3.995305 -0.824239 2.426077 78.103962
3.174641 -4.005233 -0.830592 2.423651 79.235988
3.228748 -4.065740 -0.836993 2.421228 77.085197
3.177092 -4.020526 -0.843434 2.418806 78.448609
3.099237 -3.948937 -0.849700 2.416388 79.995320
3.131533 -3.987414 -0.855881 2.413971 77.331539
3.161421 -4.023631 -0.862210 2.411557 75.661650
3.124914 -3.993388 -0.868474 2.409146 78.803867
3.190649 -4.065443 -0.874794 2.406737 75.082807
3.147733 -4.028866 -0.881132 2.404330 77.804653
3.157521 -4.044993 -0.887471 2.401926 76.902734
3.110239 -4.003986 -0.893747 2.399524 78.761710
3.121309 -4.021249 -0.899940 2.397124 78.373229
3.168048 -4.074292 -0.906244 2.394727 76.603735
3.116185 -4.028761 -0.912576 2.392332 79.285095
3.171528 -4.090357 -0.918829 2.389940 75.771600
3.139400 -4.064571 -0.925170 2.387550 76.975815
3.066758 -3.998118 -0.931360 2.385162 78.513590
3.064739 -4.002235 -0.937496 2.382777 77.672583
3.068039 -4.011666 -0.943626 2.380394 76.684833
3.083792 -4.033536 -0.949743 2.378014 76.927157
3.127173 -4.083125 -0.955952 2.375636 76.301721
3.141337 -4.103612 -0.962275 2.373260 75.211321
3.057896 -4.026376 -0.968480 2.370887 78.920006
3.069316 -4.043870 -0.974554 2.368516 77.139057
3.048256 -4.028961 -0.980705 2.366148 77.823493
3.000290 -3.987008 -0.986717 2.363782 78.749540
3.052345 -4.045102 -0.992758 2.361418 75.895157
3.071490 -4.070426 -0.998936 2.359056 74.124435
3.033851 -4.038874 -1.005022 2.356697 75.401355
3.084127 -4.095264 -1.011137 2.354341 73.192560
3.035961 -4.053288 -1.017327 2.351986 76.177384
3.053518 -4.076791 -1.023273 2.349634 76.264255
3.089304 -4.118874 -1.029570 2.347285 73.825960
2.984367 -4.019928 -1.035560 2.344937 77.132462
2.996683 -4.038264 -1.041581 2.342592 74.485680
2.911745 -3.959222 -1.047477 2.340250 77.876960
2.992324 -4.045675 -1.053350 2.337910 73.790705
3.061529 -4.120970 -1.059440 2.335572 70.492768
2.951933 -4.017419 -1.065486 2.333236 74.750380
2.874118 -3.945422 -1.071305 2.330903 76.582700
2.945771 -4.022816 -1.077045 2.328572 74.081029
2.979640 -4.062655 -1.083015 2.326243 74.130963
2.992051 -4.081049 -1.088998 2.323917 73.025199
2.956572 -4.051519 -1.094946 2.321593 75.654230
3.015776 -4.116638 -1.100862 2.319272 74.201566
3.040221 -4.147219 -1.106998 2.316952 72.723392
2.993745 -4.106760 -1.113015 2.314635 73.416225
2.956195 -4.075174 -1.118979 2.312321 74.663138
2.994156 -4.119064 -1.124908 2.310009 73.591243
2.998656 -4.129550 -1.130894 2.307698 72.990875
2.970043 -4.106942 -1.136899 2.305391 73.477143
2.990044 -4.132844 -1.142800 2.303085 72.950688
3.023103 -4.172001 -1.148898 2.300782 71.530884
2.969758 -4.124605 -1.154847 2.298482 74.533423
2.974160 -4.134987 -1.160827 2.296183 72.714820
