T Cv
2.497500 1.501149
2.495003 1.501203
2.492507 1.501171
2.490015 1.501138
2.487525 1.501055
2.485037 1.500980
2.482552 1.500988
2.480070 1.501021
2.477590 1.501016
2.475112 1.500999
2.472637 1.500954
2.470164 1.500990
2.467694 1.500987
2.465227 1.501027
2.462761 1.500968
2.460299 1.500985
2.457838 1.501024
2.455380 1.501068
2.452925 1.501046
2.450472 1.501046
2.448022 1.501095
2.445574 1.501121
2.443128 1.501088
2.440685 1.501102
2.438244 1.501085
2.435806 1.501082
2.433370 1.501112
2.430937 1.501197
2.428506 1.501182
2.426077 1.501132
2.423651 1.501045
2.421228 1.501087
2.418806 1.501042
2.416388 1.501041
2.413971 1.501064
2.411557 1.501082
2.409146 1.501101
2.406737 1.501032
2.404330 1.501079
2.401926 1.501066
2.399524 1.501061
2.397124 1.501025
2.394727 1.500999
2.392332 1.501019
2.389940 1.501018
2.387550 1.501072
2.385162 1.501058
2.382777 1.501030
2.380394 1.501013
2.378014 1.500986
2.375636 1.501030
2.373260 1.501083
2.370887 1.501089
2.368516 1.501047
2.366148 1.501023
2.363782 1.501061
2.361418 1.501157
2.359056 1.501162
2.356697 1.501051
2.354341 1.501065
2.351986 1.500989
2.349634 1.501007
2.347285 1.501028
2.344937 1.500975
2.342592 1.500968
2.340250 1.500981
2.337910 1.500995
2.335572 1.501025
2.333236 1.501026
2.330903 1.500991
2.328572 1.500998
2.326243 1.500980
2.323917 1.500957
2.321593 1.500985
2.319272 1.500974
2.316952 1.500978
2.314635 1.500920
2.312321 1.500898
2.310009 1.500956
2.307698 1.500973
2.305391 1.500912
2.303085 1.500904
2.300782 1.500922
2.298482 1.500917
2.296183 1.500913
2.293887 1.500961
2.291593 1.500931
2.289301 1.500938
2.287012 1.501043
2.284725 1.501029
2.282440 1.500923
2.280158 1.500965
2.277878 1.501001
2.275600 1.501010
2.273324 1.501013
2.271051 1.501018
2.268780 1.501014
2.266511 1.500998
2.264245 1.501056
2.261980 1.501070
2.259718 1.501018
2.257459 1.501035
2.255201 1.501031
2.252946 1.500937
2.250693 1.500916
2.248442 1.500913
2.246194 1.500846
2.243948 1.500911
