T Cv
2.497500 1.501705
2.495003 1.501577
2.492507 1.501580
2.490015 1.501579
2.487525 1.501529
2.485037 1.501457
2.482552 1.501451
2.480070 1.501567
2.477590 1.501500
2.475112 1.501466
2.472637 1.501508
2.470164 1.501498
2.467694 1.501317
2.465227 1.501492
2.462761 1.501485
2.460299 1.501440
2.457838 1.501563
2.455380 1.501553
2.452925 1.501627
2.450472 1.501570
2.448022 1.501597
2.445574 1.501651
2.443128 1.501607
2.440685 1.501617
2.438244 1.501642
2.435806 1.501504
2.433370 1.501500
2.430937 1.501553
2.428506 1.501520
2.426077 1.501480
2.423651 1.501526
2.421228 1.501533
2.418806 1.501585
2.416388 1.501785
2.413971 1.501585
2.411557 1.501586
2.409146 1.501619
2.406737 1.501728
2.404330 1.501442
2.401926 1.501478
2.399524 1.501577
2.397124 1.501595
2.394727 1.501533
2.392332 1.501566
2.389940 1.501599
2.387550 1.501663
2.385162 1.501596
2.382777 1.501757
2.380394 1.501755
2.378014 1.501703
2.375636 1.501501
2.373260 1.501529
2.370887 1.501611
2.368516 1.501503
2.366148 1.501624
2.363782 1.501664
2.361418 1.501644
2.359056 1.501526
2.356697 1.501517
2.354341 1.501550
2.351986 1.501593
2.349634 1.501695
2.347285 1.501542
2.344937 1.501542
2.342592 1.501588
2.340250 1.501515
2.337910 1.501473
2.335572 1.501553
2.333236 1.501500
2.330903 1.501524
2.328572 1.501424
2.326243 1.501641
2.323917 1.501570
2.321593 1.501651
2.319272 1.501575
2.316952 1.501539
2.314635 1.501534
2.312321 1.501447
2.310009 1.501493
2.307698 1.501629
2.305391 1.501685
2.303085 1.501580
2.300782 1.501529
2.298482 1.501581
2.296183 1.501487
2.293887 1.501476
2.291593 1.501491
2.289301 1.501577
2.287012 1.501693
2.284725 1.501535
2.282440 1.501502
2.280158 1.501699
2.277878 1.501650
2.275600 1.501564
2.273324 1.501360
2.271051 1.501431
2.268780 1.501529
2.266511 1.501551
2.264245 1.501487
2.261980 1.501739
2.259718 1.501713
2.257459 1.501619
2.255201 1.501589
2.252946 1.501720
2.250693 1.501625
2.248442 1.501530
2.246194 1.501490
2.243948 1.501472
2.241704 1.501480
2.239462 1.501443
2.237223 1.501418
2.234985 1.501434
2.232750 1.501476
2.230518 1.501456
2.228287 1.501602
2.226059 1.501630
2.223833 1.501634
2.221609 1.501595
2.219387 1.501484
2.217168 1.501636
2.214951 1.501689
2.212736 1.501506
2.210523 1.501468
2.208313 1.501571
2.206104 1.501582
2.203898 1.501569
2.201694 1.501579
2.199493 1.501463
2.197293 1.501418
2.195096 1.501503
2.192901 1.501685
2.190708 1.501506
2.188517 1.501576
2.186329 1.501557
2.184142 1.501537
2.181958 1.501513
2.179776 1.501453
2.177596 1.501465
2.175419 1.501426
2.173243 1.501420
2.171070 1.501367
2.168899 1.501568
2.166730 1.501572
2.164563 1.501496
2.162399 1.501500
2.160236 1.501485
2.158076 1.501570
2.155918 1.501581
2.153762 1.501729
2.151608 1.501516
2.149457 1.501586
2.147307 1.501413
2.145160 1.501401
2.143015 1.501438
2.140872 1.501461
2.138731 1.501571
2.136592 1.501618
2.134456 1.501617
2.132321 1.501479
2.130189 1.501413
2.128059 1.501471
2.125931 1.501435
2.123805 1.501555
2.121681 1.501498
2.119559 1.501528
2.117440 1.501476
2.115322 1.501504
2.113207 1.501452
2.111094 1.501515
2.108983 1.501563
2.106874 1.501665
2.104767 1.501566
2.102662 1.501425
2.100559 1.501432
2.098459 1.501577
2.096360 1.501636
2.094264 1.501585
2.092170 1.501646
2.090078 1.501490
2.087987 1.501590
2.085899 1.501541
2.083814 1.501456
2.081730 1.501449
2.079648 1.501495
2.077568 1.501520
2.075491 1.501589
2.073415 1.501583
2.071342 1.501537
2.069271 1.501505
2.067201 1.501462
2.065134 1.501578
2.063069 1.501525
2.061006 1.501414
2.058945 1.501577
2.056886 1.501577
2.054829 1.501582
2.052774 1.501434
2.050721 1.501524
2.048671 1.501652
2.046622 1.501568
2.044575 1.501615
2.042531 1.501553
2.040488 1.501424
2.038448 1.501410
2.036409 1.501469
2.034373 1.501488
2.032339 1.501524
2.030306 1.501510
2.028276 1.501541
2.026248 1.501359
2.024221 1.501448
2.022197 1.501495
2.020175 1.501390
2.018155 1.501395
2.016137 1.501403
2.014121 1.501435
2.012106 1.501479
2.010094 1.501375
2.008084 1.501402
2.006076 1.501412
2.004070 1.501543
2.002066 1.501570
2.000064 1.501460
1.998064 1.501539
1.996066 1.501523
1.994070 1.501568
1.992076 1.501667
1.990084 1.501734
1.988094 1.501587
1.986105 1.501622
1.984119 1.501490
1.982135 1.501349
1.980153 1.501471
1.978173 1.501559
1.976195 1.501613
1.974219 1.501635
1.972244 1.501675
1.970272 1.501675
1.968302 1.501476
1.966334 1.501519
1.964367 1.501425
1.962403 1.501521
1.960440 1.501592
1.958480 1.501640
1.956521 1.501567
1.954565 1.501572
1.952610 1.501551
1.950658 1.501524
1.948707 1.501452
1.946758 1.501359
1.944812 1.501389
1.942867 1.501513
1.940924 1.501525
1.938983 1.501325
1.937044 1.501557
1.935107 1.501403
1.933172 1.501346
1.931239 1.501585
1.929308 1.501516
1.927378 1.501454
1.925451 1.501454
1.923525 1.501504
1.921602 1.501542
1.919680 1.501570
1.917761 1.501631
1.915843 1.501574
1.913927 1.501432
1.912013 1.501437
1.910101 1.501400
1.908191 1.501597
1.906283 1.501488
1.904376 1.501372
1.902472 1.501316
1.900570 1.501333
1.898669 1.501354
1.896770 1.501321
1.894874 1.501362
1.892979 1.501546
1.891086 1.501520
1.889195 1.501594
1.887305 1.501533
1.885418 1.501476
1.883533 1.501659
1.881649 1.501720
1.879768 1.501709
1.877888 1.501726
1.876010 1.501630
1.874134 1.501692
1.872260 1.501542
1.870388 1.501476
1.868517 1.501456
1.866649 1.501521
1.864782 1.501456
1.862917 1.501395
1.861054 1.501406
1.859193 1.501513
1.857334 1.501483
1.855477 1.501517
1.853621 1.501608
1.851768 1.501408
1.849916 1.501426
1.848066 1.501437
1.846218 1.501458
1.844372 1.501404
1.842527 1.501587
1.840685 1.501473
1.838844 1.501553
1.837005 1.501495
1.835168 1.501461
1.833333 1.501334
1.831500 1.501372
1.829668 1.501409
1.827839 1.501347
1.826011 1.501337
1.824185 1.501469
1.822360 1.501475
1.820538 1.501395
1.818718 1.501371
1.816899 1.501499
1.815082 1.501728
1.813267 1.501624
1.811454 1.501560
1.809642 1.501584
1.807833 1.501392
1.806025 1.501454
1.804219 1.501330
1.802414 1.501365
1.800612 1.501484
1.798811 1.501475
1.797013 1.501512
1.795216 1.501459
1.793420 1.501592
1.791627 1.501504
1.789835 1.501386
1.788045 1.501483
1.786257 1.501600
1.784471 1.501587
1.782687 1.501548
1.780904 1.501474
1.779123 1.501428
1.777344 1.501412
1.775567 1.501419
1.773791 1.501300
1.772017 1.501377
1.770245 1.501512
1.768475 1.501459
1.766707 1.501522
1.764940 1.501426
1.763175 1.501432
1.761412 1.501544
1.759650 1.501433
1.757891 1.501420
1.756133 1.501379
1.754377 1.501290
1.752622 1.501455
1.750870 1.501409
1.749119 1.501406
1.747370 1.501517
1.745622 1.501595
1.743877 1.501579
1.742133 1.501590
1.740391 1.501474
1.738650 1.501399
1.736912 1.501420
