T Cv
2.497500 1.500797
2.495003 1.500826
2.492507 1.500850
2.490015 1.500896
2.487525 1.500852
2.485037 1.500860
2.482552 1.500836
2.480070 1.500866
2.477590 1.500919
2.475112 1.500966
2.472637 1.500949
2.470164 1.500900
2.467694 1.500802
2.465227 1.500879
2.462761 1.500851
2.460299 1.500854
2.457838 1.500910
2.455380 1.500965
2.452925 1.500876
2.450472 1.500830
2.448022 1.500914
2.445574 1.501002
2.443128 1.501008
2.440685 1.500929
2.438244 1.500941
2.435806 1.500942
2.433370 1.500872
2.430937 1.500860
2.428506 1.500919
2.426077 1.500841
2.423651 1.500852
2.421228 1.500874
2.418806 1.500830
2.416388 1.500805
2.413971 1.500843
2.411557 1.500917
2.409146 1.500939
2.406737 1.500927
2.404330 1.500909
2.401926 1.500890
2.399524 1.500879
2.397124 1.500948
2.394727 1.500896
2.392332 1.500865
2.389940 1.500867
2.387550 1.500849
2.385162 1.500862
2.382777 1.500848
2.380394 1.500856
2.378014 1.500920
2.375636 1.500887
2.373260 1.500837
2.370887 1.500834
2.368516 1.500791
2.366148 1.500844
2.363782 1.500918
2.361418 1.500897
2.359056 1.500855
2.356697 1.500851
2.354341 1.500859
2.351986 1.500893
2.349634 1.500892
2.347285 1.500868
2.344937 1.500856
2.342592 1.500910
2.340250 1.500872
2.337910 1.500862
2.335572 1.500925
2.333236 1.500968
2.330903 1.500949
2.328572 1.500838
2.326243 1.500807
2.323917 1.500851
2.321593 1.500859
2.319272 1.500835
2.316952 1.500860
2.314635 1.500836
2.312321 1.500822
2.310009 1.500775
2.307698 1.500822
2.305391 1.500843
2.303085 1.500876
2.300782 1.500916
2.298482 1.500966
2.296183 1.500891
2.293887 1.500833
2.291593 1.500823
2.289301 1.500808
2.287012 1.500811
2.284725 1.500766
2.282440 1.500728
2.280158 1.500831
2.277878 1.500801
2.275600 1.500751
2.273324 1.500747
2.271051 1.500863
2.268780 1.500839
2.266511 1.500836
2.264245 1.500827
2.261980 1.500796
2.259718 1.500841
2.257459 1.500890
2.255201 1.500820
2.252946 1.500862
2.250693 1.500922
2.248442 1.500904
2.246194 1.500875
2.243948 1.500846
2.241704 1.500819
2.239462 1.500857
2.237223 1.500868
2.234985 1.500886
2.232750 1.500865
2.230518 1.500867
2.228287 1.500896
2.226059 1.500852
2.223833 1.500919
2.221609 1.500941
2.219387 1.500876
2.217168 1.500890
2.214951 1.500842
2.212736 1.500853
2.210523 1.500814
2.208313 1.500792
2.206104 1.500860
2.203898 1.500861
2.201694 1.500818
2.199493 1.500814
2.197293 1.500858
2.195096 1.500859
2.192901 1.500882
2.190708 1.500879
2.188517 1.500882
2.186329 1.500831
2.184142 1.500899
2.181958 1.500887
2.179776 1.500871
2.177596 1.500840
2.175419 1.500817
2.173243 1.500832
2.171070 1.500833
2.168899 1.500843
2.166730 1.500832
2.164563 1.500797
2.162399 1.500824
2.160236 1.500849
2.158076 1.500875
2.155918 1.500869
2.153762 1.500868
2.151608 1.500895
2.149457 1.500840
2.147307 1.500840
2.145160 1.500803
2.143015 1.500787
2.140872 1.500846
2.138731 1.500849
2.136592 1.500833
2.134456 1.500836
2.132321 1.500775
2.130189 1.500793
2.128059 1.500913
2.125931 1.500879
2.123805 1.500812
2.121681 1.500799
2.119559 1.500843
2.117440 1.500794
2.115322 1.500825
2.113207 1.500888
2.111094 1.500823
2.108983 1.500838
2.106874 1.500926
2.104767 1.500880
2.102662 1.500881
2.100559 1.500838
2.098459 1.500739
2.096360 1.500806
2.094264 1.500852
2.092170 1.500848
2.090078 1.500797
2.087987 1.500763
2.085899 1.500830
2.083814 1.500845
2.081730 1.500869
2.079648 1.500914
2.077568 1.500836
2.075491 1.500762
2.073415 1.500764
2.071342 1.500791
2.069271 1.500812
2.067201 1.500828
2.065134 1.500828
2.063069 1.500821
2.061006 1.500824
2.058945 1.500850
2.056886 1.500793
2.054829 1.500709
2.052774 1.500712
2.050721 1.500774
2.048671 1.500797
2.046622 1.500811
2.044575 1.500741
2.042531 1.500724
2.040488 1.500732
2.038448 1.500752
2.036409 1.500821
2.034373 1.500856
2.032339 1.500815
2.030306 1.500786
2.028276 1.500771
2.026248 1.500805
2.024221 1.500840
2.022197 1.500760
2.020175 1.500730
2.018155 1.500772
2.016137 1.500790
2.014121 1.500757
2.012106 1.500766
2.010094 1.500768
2.008084 1.500823
2.006076 1.500850
2.004070 1.500865
2.002066 1.500868
2.000064 1.500857
1.998064 1.500807
1.996066 1.500810
1.994070 1.500758
1.992076 1.500713
1.990084 1.500752
1.988094 1.500751
1.986105 1.500766
1.984119 1.500772
1.982135 1.500786
1.980153 1.500752
1.978173 1.500774
1.976195 1.500771
1.974219 1.500732
1.972244 1.500774
1.970272 1.500866
1.968302 1.500842
1.966334 1.500785
1.964367 1.500751
1.962403 1.500782
1.960440 1.500791
1.958480 1.500757
1.956521 1.500780
1.954565 1.500767
1.952610 1.500743
1.950658 1.500721
1.948707 1.500796
1.946758 1.500769
1.944812 1.500772
1.942867 1.500795
1.940924 1.500755
1.938983 1.500766
1.937044 1.500775
1.935107 1.500797
1.933172 1.500789
1.931239 1.500768
1.929308 1.500741
1.927378 1.500742
1.925451 1.500865
1.923525 1.500909
1.921602 1.500884
1.919680 1.500822
1.917761 1.500784
1.915843 1.500759
1.913927 1.500722
1.912013 1.500711
1.910101 1.500691
1.908191 1.500690
1.906283 1.500714
1.904376 1.500704
1.902472 1.500719
1.900570 1.500754
1.898669 1.500725
1.896770 1.500723
1.894874 1.500697
1.892979 1.500682
1.891086 1.500746
1.889195 1.500744
1.887305 1.500734
1.885418 1.500699
1.883533 1.500642
1.881649 1.500663
1.879768 1.500706
1.877888 1.500726
1.876010 1.500664
1.874134 1.500679
1.872260 1.500717
1.870388 1.500729
1.868517 1.500756
1.866649 1.500732
1.864782 1.500730
1.862917 1.500764
1.861054 1.500739
1.859193 1.500703
1.857334 1.500723
1.855477 1.500696
1.853621 1.500723
1.851768 1.500694
1.849916 1.500717
1.848066 1.500706
1.846218 1.500684
1.844372 1.500683
1.842527 1.500691
1.840685 1.500733
1.838844 1.500736
1.837005 1.500722
1.835168 1.500730
1.833333 1.500742
1.831500 1.500745
1.829668 1.500705
1.827839 1.500688
1.826011 1.500731
1.824185 1.500717
1.822360 1.500701
1.820538 1.500714
1.818718 1.500723
1.816899 1.500670
1.815082 1.500720
1.813267 1.500740
1.811454 1.500690
1.809642 1.500632
1.807833 1.500621
1.806025 1.500628
1.804219 1.500640
1.802414 1.500678
