Temp Cv
2.497500 1.501243
2.495003 1.501252
2.492507 1.501125
2.490015 1.501161
2.487525 1.501212
2.485037 1.501118
2.482552 1.501164
2.480070 1.501182
2.477590 1.501201
2.475112 1.501106
2.472637 1.501082
2.470164 1.501126
2.467694 1.501192
2.465227 1.501269
2.462761 1.501130
2.460299 1.501084
2.457838 1.501131
2.455380 1.501073
2.452925 1.501124
2.450472 1.501163
2.448022 1.501151
2.445574 1.501134
2.443128 1.501123
2.440685 1.501181
2.438244 1.501099
2.435806 1.501127
2.433370 1.501053
2.430937 1.501032
2.428506 1.501116
2.426077 1.501231
2.423651 1.501179
2.421228 1.501196
2.418806 1.501203
2.416388 1.501140
2.413971 1.501152
2.411557 1.501164
2.409146 1.501108
2.406737 1.501220
2.404330 1.501161
2.401926 1.501245
2.399524 1.501148
2.397124 1.501104
2.394727 1.501171
2.392332 1.501160
2.389940 1.501139
2.387550 1.501184
2.385162 1.501178
2.382777 1.501135
2.380394 1.501109
2.378014 1.501208
2.375636 1.501176
2.373260 1.501195
2.370887 1.501134
2.368516 1.501129
2.366148 1.501129
2.363782 1.501054
2.361418 1.501026
2.359056 1.501155
2.356697 1.501081
2.354341 1.501177
2.351986 1.501135
2.349634 1.501105
2.347285 1.501251
2.344937 1.501142
2.342592 1.501092
2.340250 1.501096
2.337910 1.501139
2.335572 1.501125
2.333236 1.501041
2.330903 1.501005
2.328572 1.501083
2.326243 1.501143
2.323917 1.501052
2.321593 1.501046
2.319272 1.501180
2.316952 1.501128
2.314635 1.501058
2.312321 1.501053
2.310009 1.501181
2.307698 1.501229
2.305391 1.501064
2.303085 1.501023
2.300782 1.501084
2.298482 1.501137
2.296183 1.501166
2.293887 1.501118
2.291593 1.501023
2.289301 1.501044
2.287012 1.501106
2.284725 1.501179
2.282440 1.501078
2.280158 1.501064
2.277878 1.501066
2.275600 1.501086
2.273324 1.501083
2.271051 1.501045
2.268780 1.501125
2.266511 1.501090
2.264245 1.501013
2.261980 1.501025
2.259718 1.501047
2.257459 1.501084
2.255201 1.501059
2.252946 1.501012
2.250693 1.501074
2.248442 1.501076
2.246194 1.501153
2.243948 1.501006
2.241704 1.500975
2.239462 1.501056
2.237223 1.501079
2.234985 1.501155
2.232750 1.501131
2.230518 1.501095
2.228287 1.500997
2.226059 1.500968
2.223833 1.500993
2.221609 1.501006
2.219387 1.501041
2.217168 1.501039
2.214951 1.500971
2.212736 1.500935
2.210523 1.500958
2.208313 1.501066
2.206104 1.501054
2.203898 1.500983
2.201694 1.500982
2.199493 1.501014
2.197293 1.500993
2.195096 1.500997
2.192901 1.500945
2.190708 1.500975
2.188517 1.501062
2.186329 1.501048
2.184142 1.501009
2.181958 1.500993
2.179776 1.501104
2.177596 1.501047
2.175419 1.501085
2.173243 1.501097
2.171070 1.501230
2.168899 1.501184
2.166730 1.501097
2.164563 1.501009
2.162399 1.500977
2.160236 1.501023
2.158076 1.501069
2.155918 1.501014
2.153762 1.500917
2.151608 1.500935
2.149457 1.501014
2.147307 1.500999
2.145160 1.500977
2.143015 1.500974
2.140872 1.501024
2.138731 1.500963
2.136592 1.500901
2.134456 1.501003
2.132321 1.501077
2.130189 1.501047
2.128059 1.501113
2.125931 1.501101
2.123805 1.501206
2.121681 1.501191
2.119559 1.501091
2.117440 1.501022
2.115322 1.501240
2.113207 1.501241
2.111094 1.501088
2.108983 1.501054
2.106874 1.501057
2.104767 1.501032
2.102662 1.501157
2.100559 1.501167
2.098459 1.501125
2.096360 1.501108
2.094264 1.501107
2.092170 1.501068
2.090078 1.501089
2.087987 1.501129
2.085899 1.501166
2.083814 1.501069
2.081730 1.501015
2.079648 1.501079
2.077568 1.501170
2.075491 1.501070
2.073415 1.501039
2.071342 1.501080
2.069271 1.501134
2.067201 1.501180
2.065134 1.501119
2.063069 1.501052
2.061006 1.500956
2.058945 1.500921
2.056886 1.500987
2.054829 1.501122
2.052774 1.501125
2.050721 1.501088
2.048671 1.500978
2.046622 1.501035
2.044575 1.501125
2.042531 1.500933
2.040488 1.500934
2.038448 1.501003
2.036409 1.500973
2.034373 1.501003
2.032339 1.501051
2.030306 1.501107
2.028276 1.501109
2.026248 1.501037
2.024221 1.500985
2.022197 1.500958
2.020175 1.500965
2.018155 1.500974
2.016137 1.501010
2.014121 1.501039
2.012106 1.501034
2.010094 1.500971
2.008084 1.501022
2.006076 1.501053
2.004070 1.501029
2.002066 1.501065
2.000064 1.501115
1.998064 1.501008
1.996066 1.501028
1.994070 1.501066
1.992076 1.501046
1.990084 1.501039
1.988094 1.501065
1.986105 1.501043
1.984119 1.501064
1.982135 1.500990
1.980153 1.500992
1.978173 1.500994
1.976195 1.501036
1.974219 1.500951
1.972244 1.500926
1.970272 1.500998
1.968302 1.501064
1.966334 1.501147
1.964367 1.501063
1.962403 1.501064
1.960440 1.501115
1.958480 1.501116
1.956521 1.501060
1.954565 1.501022
1.952610 1.501088
1.950658 1.501135
1.948707 1.501119
1.946758 1.501114
1.944812 1.501093
1.942867 1.501116
1.940924 1.500921
1.938983 1.500941
1.937044 1.500960
1.935107 1.500988
1.933172 1.500993
1.931239 1.500977
1.929308 1.501019
1.927378 1.501019
1.925451 1.500965
1.923525 1.500976
1.921602 1.501018
1.919680 1.501056
1.917761 1.501003
1.915843 1.501000
1.913927 1.500936
1.912013 1.500993
1.910101 1.500994
1.908191 1.501052
1.906283 1.501113
1.904376 1.501074
1.902472 1.501022
1.900570 1.501049
1.898669 1.500990
1.896770 1.500981
1.894874 1.501013
1.892979 1.501007
1.891086 1.500951
1.889195 1.500917
1.887305 1.500900
1.885418 1.500982
1.883533 1.500997
1.881649 1.501033
1.879768 1.501119
1.877888 1.501100
1.876010 1.501117
1.874134 1.501104
1.872260 1.501025
1.870388 1.501014
1.868517 1.501041
1.866649 1.501112
1.864782 1.501083
1.862917 1.501009
1.861054 1.501027
1.859193 1.501041
1.857334 1.500982
1.855477 1.500951
1.853621 1.501019
1.851768 1.501074
1.849916 1.500982
1.848066 1.501023
